t,DIR,BAT,EX1,EX2
11.71689486503601,"(301.0, 2511.375727891922)","(593.0, 2511.375727891922)","(743.0, 2511.375727891922)","(810.0, 2511.375727891922)"
11.768900156021118,"(312.0, 2511.4267342090607)","(589.0, 2511.4277482032776)","(761.0, 2511.4267342090607)","(798.0, 2511.4267342090607)"
11.817453145980835,"(274.0, 2511.4752957820892)","(547.0, 2511.4752957820892)","(698.0, 2511.4752957820892)","(742.0, 2511.4752957820892)"
11.887487173080444,"(360.0, 2511.5463082790375)","(638.0, 2511.5463082790375)","(811.0, 2511.5463082790375)","(792.0, 2511.5463082790375)"
11.926044702529907,"(324.0, 2511.584886789322)","(610.0, 2511.584886789322)","(759.0, 2511.584886789322)","(824.0, 2511.584886789322)"
11.98056435585022,"(378.0, 2511.6374006271362)","(664.0, 2511.6374006271362)","(743.0, 2511.6374006271362)","(817.0, 2511.6374006271362)"
12.021325588226318,"(293.0, 2511.679142475128)","(577.0, 2511.679142475128)","(717.0, 2511.6801583766937)","(770.0, 2511.6801583766937)"
12.070324420928955,"(320.0, 2511.7291417121887)","(597.0, 2511.7291417121887)","(787.0, 2511.7291417121887)","(752.0, 2511.7291417121887)"
12.105861186981201,"(299.0, 2511.763680934906)","(582.0, 2511.7646815776825)","(742.0, 2511.7646815776825)","(801.0, 2511.7646815776825)"
12.154862880706787,"(290.0, 2511.81369638443)","(567.0, 2511.81369638443)","(726.0, 2511.81369638443)","(783.0, 2511.81369638443)"
12.196410655975342,"(352.0, 2511.8557024002075)","(633.0, 2511.8557024002075)","(795.0, 2511.8557024002075)","(795.0, 2511.8557024002075)"
12.239431381225586,"(330.0, 2511.89727640152)","(612.0, 2511.89727640152)","(777.0, 2511.89727640152)","(767.0, 2511.89727640152)"
12.29144811630249,"(344.0, 2511.950281381607)","(627.0, 2511.950281381607)","(794.0, 2511.950281381607)","(790.0, 2511.950281381607)"
12.334007978439331,"(341.0, 2511.989839076996)","(626.0, 2511.989839076996)","(779.0, 2511.990822792053)","(757.0, 2511.990822792053)"
12.388032913208008,"(343.0, 2512.0458509922028)","(638.0, 2512.0458509922028)","(813.0, 2512.046865940094)","(811.0, 2512.0478496551514)"
12.42460560798645,"(272.0, 2512.08141541481)","(544.0, 2512.08141541481)","(683.0, 2512.082431793213)","(726.0, 2512.082431793213)"
12.479584455490112,"(368.0, 2512.1374156475067)","(654.0, 2512.1374156475067)","(751.0, 2512.1384131908417)","(831.0, 2512.1384131908417)"
12.518117427825928,"(272.0, 2512.176954269409)","(540.0, 2512.176954269409)","(691.0, 2512.176954269409)","(740.0, 2512.176954269409)"
12.582459449768066,"(384.0, 2512.2382369041443)","(592.0, 2512.2382369041443)","(748.0, 2512.239268541336)","(805.0, 2512.239268541336)"
12.626159906387329,"(294.0, 2512.282009601593)","(583.0, 2512.282009601593)","(754.0, 2512.282009601593)","(803.0, 2512.2830107212067)"
12.677162885665894,"(324.0, 2512.3359925746918)","(603.0, 2512.3359925746918)","(757.0, 2512.3359925746918)","(816.0, 2512.3359925746918)"
12.715705871582031,"(323.0, 2512.37354016304)","(610.0, 2512.374541759491)","(765.0, 2512.374541759491)","(834.0, 2512.374541759491)"
12.779692888259888,"(329.0, 2512.437539100647)","(605.0, 2512.437539100647)","(767.0, 2512.437539100647)","(831.0, 2512.437539100647)"
12.823284387588501,"(337.0, 2512.4811186790466)","(624.0, 2512.4811186790466)","(781.0, 2512.4811186790466)","(764.0, 2512.4811186790466)"
12.875312566757202,"(346.0, 2512.533118724823)","(629.0, 2512.533118724823)","(801.0, 2512.534116744995)","(779.0, 2512.534116744995)"
12.91184949874878,"(315.0, 2512.5706675052643)","(602.0, 2512.5706675052643)","(756.0, 2512.5706675052643)","(822.0, 2512.5706675052643)"
12.97084903717041,"(382.0, 2512.629683494568)","(683.0, 2512.629683494568)","(772.0, 2512.629683494568)","(748.0, 2512.629683494568)"
13.011006832122803,"(309.0, 2512.6678426265717)","(605.0, 2512.6678426265717)","(772.0, 2512.6698410511017)","(767.0, 2512.6698410511017)"
13.068006992340088,"(311.0, 2512.726824760437)","(593.0, 2512.726824760437)","(738.0, 2512.726824760437)","(779.0, 2512.726824760437)"
13.111185789108276,"(325.0, 2512.7690200805664)","(617.0, 2512.7690200805664)","(775.0, 2512.7690200805664)","(766.0, 2512.77001953125)"
13.166185140609741,"(328.0, 2512.824018716812)","(601.0, 2512.824018716812)","(750.0, 2512.82501745224)","(812.0, 2512.826001882553)"
13.201318979263306,"(318.0, 2512.8601529598236)","(619.0, 2512.8601529598236)","(783.0, 2512.8601529598236)","(791.0, 2512.8601529598236)"
13.240328550338745,"(330.0, 2512.8981544971466)","(617.0, 2512.8981544971466)","(781.0, 2512.89915394783)","(767.0, 2512.89915394783)"
13.286349058151245,"(314.0, 2512.9441545009613)","(593.0, 2512.9451689720154)","(746.0, 2512.9451689720154)","(790.0, 2512.9451689720154)"
13.32192063331604,"(331.0, 2512.978732585907)","(611.0, 2512.978732585907)","(767.0, 2512.9807476997375)","(829.0, 2512.9807476997375)"
13.371912717819214,"(353.0, 2513.030747652054)","(635.0, 2513.030747652054)","(799.0, 2513.030747652054)","(794.0, 2513.030747652054)"
13.411452531814575,"(284.0, 2513.070286512375)","(565.0, 2513.070286512375)","(727.0, 2513.070286512375)","(796.0, 2513.070286512375)"
13.464452505111694,"(354.0, 2513.122277021408)","(628.0, 2513.122277021408)","(785.0, 2513.122277021408)","(750.0, 2513.1233048439026)"
13.507027864456177,"(267.0, 2513.162845134735)","(542.0, 2513.162845134735)","(703.0, 2513.164860725403)","(766.0, 2513.164860725403)"
13.555029153823853,"(316.0, 2513.213880300522)","(604.0, 2513.213880300522)","(751.0, 2513.212845802307)","(818.0, 2513.212845802307)"
13.598597288131714,"(326.0, 2513.257867336273)","(621.0, 2513.257867336273)","(793.0, 2513.257867336273)","(763.0, 2513.257867336273)"
13.656598567962646,"(285.0, 2513.312435865402)","(568.0, 2513.312435865402)","(721.0, 2513.311413526535)","(767.0, 2513.311413526535)"
13.69809365272522,"(295.0, 2513.3574171066284)","(591.0, 2513.3574171066284)","(756.0, 2513.3574171066284)","(812.0, 2513.3574171066284)"
13.748116254806519,"(274.0, 2513.4039521217346)","(546.0, 2513.404961824417)","(787.0, 2513.4039521217346)","(774.0, 2513.4039521217346)"
13.80064082145691,"(272.0, 2513.457943201065)","(545.0, 2513.457943201065)","(692.0, 2513.457943201065)","(742.0, 2513.457943201065)"
13.868652105331421,"(316.0, 2513.5274834632874)","(599.0, 2513.5274834632874)","(770.0, 2513.5274834632874)","(756.0, 2513.5274834632874)"
13.903143644332886,"(347.0, 2513.5619626045227)","(635.0, 2513.5619626045227)","(795.0, 2513.5619626045227)","(782.0, 2513.5619626045227)"
13.946296215057373,"(317.0, 2513.603123188019)","(605.0, 2513.603123188019)","(739.0, 2513.603123188019)","(791.0, 2513.603123188019)"
13.98675012588501,"(285.0, 2513.6435420513153)","(569.0, 2513.6445615291595)","(718.0, 2513.6455857753754)","(770.0, 2513.6455857753754)"
14.02131700515747,"(336.0, 2513.6801540851593)","(608.0, 2513.6801540851593)","(757.0, 2513.6801540851593)","(816.0, 2513.681151151657)"
14.072316408157349,"(354.0, 2513.7301490306854)","(632.0, 2513.7301490306854)","(783.0, 2513.7301490306854)","(780.0, 2513.7301490306854)"
14.131894588470459,"(295.0, 2513.785716533661)","(589.0, 2513.7867074012756)","(757.0, 2513.7867074012756)","(809.0, 2513.7867074012756)"
14.205456256866455,"(334.0, 2513.862276315689)","(621.0, 2513.862276315689)","(783.0, 2513.862276315689)","(758.0, 2513.863288640976)"
14.269442558288574,"(360.0, 2513.92827296257)","(645.0, 2513.92827296257)","(739.0, 2513.92827296257)","(815.0, 2513.92827296257)"
14.304003238677979,"(310.0, 2513.9628386497498)","(601.0, 2513.9628386497498)","(747.0, 2513.9628386497498)","(798.0, 2513.9638364315033)"
14.370002269744873,"(355.0, 2514.026835680008)","(643.0, 2514.026835680008)","(731.0, 2514.0278358459473)","(806.0, 2514.0278358459473)"
14.407172918319702,"(286.0, 2514.06600689888)","(571.0, 2514.06600689888)","(724.0, 2514.06600689888)","(772.0, 2514.06600689888)"
14.469189882278442,"(322.0, 2514.1250216960907)","(603.0, 2514.126020669937)","(767.0, 2514.127005338669)","(838.0, 2514.127005338669)"
14.505688905715942,"(320.0, 2514.1645233631134)","(589.0, 2514.1645233631134)","(749.0, 2514.1645233631134)","(813.0, 2514.1655201911926)"
14.55681562423706,"(330.0, 2514.215658426285)","(610.0, 2514.215658426285)","(767.0, 2514.215658426285)","(838.0, 2514.215658426285)"
14.594831228256226,"(286.0, 2514.253669023514)","(576.0, 2514.253669023514)","(725.0, 2514.2546486854553)","(782.0, 2514.2546486854553)"
14.64075231552124,"(329.0, 2514.2984561920166)","(614.0, 2514.2984561920166)","(787.0, 2514.2984561920166)","(760.0, 2514.2984561920166)"
14.69063425064087,"(300.0, 2514.349487543106)","(588.0, 2514.349487543106)","(745.0, 2514.349487543106)","(802.0, 2514.349487543106)"
14.727735757827759,"(309.0, 2514.3867168426514)","(597.0, 2514.3867168426514)","(762.0, 2514.3867168426514)","(819.0, 2514.3867168426514)"
14.779323816299438,"(332.0, 2514.4350669384003)","(618.0, 2514.4350669384003)","(779.0, 2514.438207626343)","(756.0, 2514.438207626343)"
14.806757926940918,"(333.0, 2514.466587781906)","(616.0, 2514.466587781906)","(767.0, 2514.466587781906)","(830.0, 2514.466587781906)"
14.840748310089111,"(289.0, 2514.500603914261)","(566.0, 2514.500603914261)","(783.0, 2514.4996054172516)","(790.0, 2514.500603914261)"
14.872766733169556,"(326.0, 2514.532581806183)","(620.0, 2514.532581806183)","(787.0, 2514.532581806183)","(764.0, 2514.532581806183)"
14.896842956542969,"(306.0, 2514.55668091774)","(587.0, 2514.55668091774)","(751.0, 2514.55668091774)","(824.0, 2514.557660341263)"
14.945466995239258,"(286.0, 2514.604300737381)","(578.0, 2514.604300737381)","(744.0, 2514.604300737381)","(799.0, 2514.604300737381)"
14.985511064529419,"(296.0, 2514.645308494568)","(577.0, 2514.645308494568)","(735.0, 2514.645308494568)","(810.0, 2514.645308494568)"
15.033074855804443,"(324.0, 2514.691912174225)","(608.0, 2514.691912174225)","(737.0, 2514.690910577774)","(793.0, 2514.691912174225)"
15.069061279296875,"(356.0, 2514.7278888225555)","(640.0, 2514.7278888225555)","(715.0, 2514.7278888225555)","(777.0, 2514.7278888225555)"
15.095081329345703,"(305.0, 2514.7549130916595)","(582.0, 2514.7549130916595)","(749.0, 2514.7549130916595)","(822.0, 2514.7558963298798)"
15.118695259094238,"(316.0, 2514.778537273407)","(608.0, 2514.778537273407)","(761.0, 2514.778537273407)","(824.0, 2514.779536008835)"
15.15470838546753,"(329.0, 2514.8135426044464)","(601.0, 2514.8145542144775)","(750.0, 2514.8145542144775)","(809.0, 2514.8145542144775)"
15.180709600448608,"(295.0, 2514.840559720993)","(596.0, 2514.840559720993)","(753.0, 2514.840559720993)","(812.0, 2514.840559720993)"
15.225225687026978,"(278.0, 2514.883078098297)","(573.0, 2514.883078098297)","(733.0, 2514.883078098297)","(799.0, 2514.883078098297)"
15.273484230041504,"(292.0, 2514.931335926056)","(579.0, 2514.931335926056)","(742.0, 2514.9333333969116)","(810.0, 2514.9333333969116)"
15.316810131072998,"(297.0, 2514.976658344269)","(574.0, 2514.976658344269)","(741.0, 2514.976658344269)","(808.0, 2514.976658344269)"
15.358824729919434,"(328.0, 2515.0176632404327)","(598.0, 2515.0176632404327)","(761.0, 2515.0176632404327)","(811.0, 2515.018643140793)"
15.402019739151001,"(340.0, 2515.0616805553436)","(624.0, 2515.0616805553436)","(778.0, 2515.0616805553436)","(759.0, 2515.0616805553436)"
15.4380202293396,"(307.0, 2515.097836256027)","(584.0, 2515.097836256027)","(793.0, 2515.0968437194824)","(766.0, 2515.0968437194824)"
15.468033075332642,"(370.0, 2515.1278352737427)","(657.0, 2515.1278352737427)","(739.0, 2515.1278352737427)","(805.0, 2515.1278352737427)"
15.493022680282593,"(309.0, 2515.1528584957123)","(600.0, 2515.1528584957123)","(749.0, 2515.1528584957123)","(816.0, 2515.1538593769073)"
15.542238712310791,"(362.0, 2515.2010731697083)","(640.0, 2515.2010731697083)","(712.0, 2515.202071905136)","(758.0, 2515.202071905136)"
15.58527135848999,"(312.0, 2515.2420539855957)","(588.0, 2515.2420539855957)","(751.0, 2515.244071483612)","(820.0, 2515.244071483612)"
15.631289005279541,"(289.0, 2515.289115190506)","(561.0, 2515.2901241779327)","(738.0, 2515.289115190506)","(790.0, 2515.289115190506)"
