t
0.0043222904205322266,
0.010374307632446289,
0.25110673904418945,
0.30682849884033203,
0.3125016689300537,
0.3189849853515625,
0.3227715492248535,
0.32762813568115234,
0.3328664302825928,
0.3373105525970459,
0.3423118591308594,
0.3469502925872803,
0.3522300720214844,
0.35756897926330566,
0.3632333278656006,
0.36770129203796387,
0.3721160888671875,
0.3775620460510254,
0.3827829360961914,
0.38732123374938965,
0.3924233913421631,
0.3977978229522705,
0.4022486209869385,
0.4071176052093506,
0.41280388832092285,
0.41722631454467773,
0.4225912094116211,
0.4277188777923584,
0.43204474449157715,
0.4378218650817871,
0.4422423839569092,
0.44755125045776367,
0.4521164894104004,
0.4574606418609619,
0.4627523422241211,
0.46747279167175293,
0.4729166030883789,
0.47721409797668457,
0.482593297958374,
0.48718714714050293,
0.4922764301300049,
0.4968249797821045,
0.5027213096618652,
0.5073208808898926,
0.5129284858703613,
0.5174622535705566,
0.5218935012817383,
0.5274686813354492,
0.5327234268188477,
0.537278413772583,
0.5426688194274902,
0.5470850467681885,
0.5519301891326904,
0.5569243431091309,
0.5622680187225342,
0.5671887397766113,
0.5723891258239746,
0.5777959823608398,
0.5828952789306641,
0.5876381397247314,
0.5922927856445312,
0.5974841117858887,
0.6029295921325684,
0.6070370674133301,
0.6134648323059082,
0.6176214218139648,
0.6227774620056152,
0.6271648406982422,
0.6325938701629639,
0.6370551586151123,
0.6427700519561768,
0.6470580101013184,
0.6521608829498291,
0.657611608505249,
0.6619188785552979,
0.6681199073791504,
0.6725623607635498,
0.6776423454284668,
0.6820893287658691,
0.6876273155212402,
0.6928937435150146,
0.6971926689147949,
0.7028512954711914,
0.7072904109954834,
0.7129011154174805,
0.7171132564544678,
0.7225515842437744,
0.7278480529785156,
0.732219934463501,
0.7378618717193604,
0.7424266338348389,
0.7469654083251953,
0.7520229816436768,
0.7574522495269775,
0.7626347541809082,
0.7671949863433838,
0.771904468536377,
0.7770628929138184,
0.7823812961578369,
0.787219762802124,
0.7923743724822998,
0.798088788986206,
0.8027441501617432,
0.8070437908172607,
0.8124251365661621,
0.8173449039459229,
0.8227665424346924,
0.8269314765930176,
0.8325951099395752,
0.8371384143829346,
0.842278003692627,
0.848351001739502,
0.8527555465698242,
0.8569362163543701,
0.8625311851501465,
0.8672027587890625,
0.8726322650909424,
0.8778390884399414,
0.882098913192749,
0.887688398361206,
0.8922851085662842,
0.8980333805084229,
0.9020333290100098,
0.9074854850769043,
0.9120290279388428,
0.9175271987915039,
0.9225814342498779,
0.9273905754089355,
0.93280029296875,
0.9374568462371826,
0.9421823024749756,
0.9473245143890381,
0.9519224166870117,
0.9571936130523682,
0.9626598358154297,
0.9671359062194824,
0.9727036952972412,
0.9777302742004395,
0.9822354316711426,
0.9870340824127197,
0.9923725128173828,
0.9969234466552734,
1.002753734588623,
1.0071475505828857,
1.0129122734069824,
1.017282247543335,
1.022430419921875,
1.0277740955352783,
1.0320897102355957,
1.0369560718536377,
1.0423715114593506,
1.047053575515747,
1.0522196292877197,
1.0580098628997803,
1.0627994537353516,
1.0672271251678467,
1.0727214813232422,
1.0771849155426025,
1.0826072692871094,
1.0872879028320312,
1.0925805568695068,
1.0980751514434814,
1.102463960647583,
1.1069750785827637,
1.112320899963379,
1.1175787448883057,
1.1222074031829834,
1.1277780532836914,
1.132141351699829,
1.1368660926818848,
1.1421570777893066,
1.1475248336791992,
1.1520473957061768,
1.1572513580322266,
1.16251802444458,
1.1675221920013428,
1.1719934940338135,
1.1772353649139404,
1.182663917541504,
1.1871533393859863,
1.1924753189086914,
1.1970958709716797,
