t,ACX,ACY,ACZ,GYX,GYY,GYZ,ROL,PIT,YAW,RUD,TWI,TRI
0.001956462860107422,,,,,,,,,,,,
0.008644342422485352,,,,,,,,,,,,
0.28708553314208984,,,,,,,,,,,,
0.36934328079223633,,,,,,,,,,,,
0.3744943141937256,,,,,,,,,,,,
0.3795740604400635,,,,,,,,,,,,
0.3848710060119629,,,,,,,,,,,,
0.39037656784057617,,,,,,,,,,,,
0.39461851119995117,,,,,,,,,,,,
0.3996102809906006,,,,,,,,,,,,
0.40499019622802734,,,,,,,,,,,,
0.41022276878356934,,,,,,,,,,,,
0.4153416156768799,,,,,,,,,,,,
0.42020583152770996,,,,,,,,,,,,
0.4252173900604248,,,,,,,,,,,,
0.4300975799560547,,,,,,,,,,,,
0.4729130268096924,,,,,,,,,,,,
0.4784204959869385,,,,,,,,,,,,
0.484011173248291,,,,,,,,,,,,
0.4883096218109131,,,,,,,,,,,,
0.4930706024169922,,,,,,,,,,,,
0.49857258796691895,,,,,,,,,,,,
0.5035064220428467,,,,,,,,,,,,
0.5084171295166016,,,,,,,,,,,,
0.5137665271759033,,,,,,,,,,,,
0.5193819999694824,,,,,,,,,,,,
0.5233490467071533,,,,,,,,,,,,
0.5287799835205078,,,,,,,,,,,,
0.5349273681640625,,,,,,,,,,,,
0.5394716262817383,,,,,,,,,,,,
0.5436375141143799,,,,,,,,,,,,
0.5489852428436279,,,,,,,,,,,,
0.5532102584838867,,,,,,,,,,,,
0.558793306350708,,,,,,,,,,,,
0.5634369850158691,,,,,,,,,,,,
0.5684363842010498,,,,,,,,,,,,
0.5740036964416504,,,,,,,,,,,,
0.5783319473266602,,,,,,,,,,,,
0.5829308032989502,,,,,,,,,,,,
0.5883834362030029,,,,,,,,,,,,
0.5935838222503662,,,,,,,,,,,,
0.5981004238128662,,,,,,,,,,,,
0.6030879020690918,,,,,,,,,,,,
0.6086812019348145,,,,,,,,,,,,
0.6136925220489502,,,,,,,,,,,,
0.6185653209686279,,,,,,,,,,,,
0.6239280700683594,,,,,,,,,,,,
0.628108024597168,,,,,,,,,,,,
0.6339147090911865,,,,,,,,,,,,
0.6383929252624512,,,,,,,,,,,,
0.6434314250946045,,,,,,,,,,,,
0.6483123302459717,,,,,,,,,,,,
0.6531803607940674,,,,,,,,,,,,
0.65850830078125,,,,,,,,,,,,
0.6637265682220459,,,,,,,,,,,,
0.6685202121734619,,,,,,,,,,,,
0.6738131046295166,,,,,,,,,,,,
0.6787161827087402,,,,,,,,,,,,
